"signup_month","activity_month","cohort_size","active_customers","retention_rate"
"2025-02-01","2026-01-01","9","0","0.0"
"2025-02-01","2026-02-01","9","0","0.0"
"2025-02-01","2026-03-01","9","0","0.0"
"2025-02-01","2026-04-01","9","0","0.0"
"2025-02-01","2026-05-01","9","9","100.0"
"2025-02-01","2026-06-01","9","9","100.0"
"2025-02-01","2026-07-01","9","9","100.0"
"2025-02-01","2026-08-01","9","9","100.0"
"2025-03-01","2025-03-01","11","0","0.0"
"2025-03-01","2025-04-01","11","0","0.0"
"2025-03-01","2025-05-01","11","0","0.0"
"2025-03-01","2025-06-01","11","0","0.0"
"2025-03-01","2025-07-01","11","0","0.0"
"2025-03-01","2025-08-01","11","0","0.0"
"2025-03-01","2025-09-01","11","0","0.0"
"2025-03-01","2025-10-01","11","0","0.0"
"2025-03-01","2025-11-01","11","0","0.0"
"2025-03-01","2025-12-01","11","0","0.0"
"2025-03-01","2026-01-01","11","0","0.0"
"2025-03-01","2026-02-01","11","0","0.0"
"2025-03-01","2026-03-01","11","0","0.0"
"2025-03-01","2026-04-01","11","0","0.0"
"2025-03-01","2026-05-01","11","11","100.0"
"2025-03-01","2026-06-01","11","11","100.0"
"2025-03-01","2026-07-01","11","11","100.0"
"2025-03-01","2026-08-01","11","11","100.0"
"2025-04-01","2025-04-01","10","0","0.0"
"2025-04-01","2025-05-01","10","0","0.0"
"2025-04-01","2025-06-01","10","0","0.0"
"2025-04-01","2025-07-01","10","0","0.0"
"2025-04-01","2025-08-01","10","0","0.0"
"2025-04-01","2025-09-01","10","0","0.0"
"2025-04-01","2025-10-01","10","0","0.0"
"2025-04-01","2025-11-01","10","0","0.0"
"2025-04-01","2025-12-01","10","0","0.0"
"2025-04-01","2026-01-01","10","0","0.0"
"2025-04-01","2026-02-01","10","0","0.0"
"2025-04-01","2026-03-01","10","0","0.0"
"2025-04-01","2026-04-01","10","0","0.0"
"2025-04-01","2026-05-01","10","10","100.0"
"2025-04-01","2026-06-01","10","10","100.0"
"2025-04-01","2026-07-01","10","10","100.0"
"2025-04-01","2026-08-01","10","10","100.0"
"2025-05-01","2025-05-01","10","0","0.0"
"2025-05-01","2025-06-01","10","0","0.0"
"2025-05-01","2025-07-01","10","0","0.0"
"2025-05-01","2025-08-01","10","0","0.0"
"2025-05-01","2025-09-01","10","0","0.0"
"2025-05-01","2025-10-01","10","0","0.0"
"2025-05-01","2025-11-01","10","0","0.0"
"2025-05-01","2025-12-01","10","0","0.0"
"2025-05-01","2026-01-01","10","0","0.0"
"2025-05-01","2026-02-01","10","0","0.0"
"2025-05-01","2026-03-01","10","0","0.0"
"2025-05-01","2026-04-01","10","0","0.0"
"2025-05-01","2026-05-01","10","9","90.0"
"2025-05-01","2026-06-01","10","10","100.0"
"2025-05-01","2026-07-01","10","9","90.0"
"2025-05-01","2026-08-01","10","8","80.0"
"2025-06-01","2025-06-01","11","0","0.0"
"2025-06-01","2025-07-01","11","0","0.0"
"2025-06-01","2025-08-01","11","0","0.0"
"2025-06-01","2025-09-01","11","0","0.0"
"2025-06-01","2025-10-01","11","0","0.0"
"2025-06-01","2025-11-01","11","0","0.0"
"2025-06-01","2025-12-01","11","0","0.0"
"2025-06-01","2026-01-01","11","0","0.0"
"2025-06-01","2026-02-01","11","0","0.0"
"2025-06-01","2026-03-01","11","0","0.0"
"2025-06-01","2026-04-01","11","0","0.0"
"2025-06-01","2026-05-01","11","11","100.0"
"2025-06-01","2026-06-01","11","11","100.0"
"2025-06-01","2026-07-01","11","11","100.0"
"2025-06-01","2026-08-01","11","11","100.0"
"2025-07-01","2025-07-01","18","0","0.0"
"2025-07-01","2025-08-01","18","0","0.0"
"2025-07-01","2025-09-01","18","0","0.0"
"2025-07-01","2025-10-01","18","0","0.0"
"2025-07-01","2025-11-01","18","0","0.0"
"2025-07-01","2025-12-01","18","0","0.0"
"2025-07-01","2026-01-01","18","0","0.0"
"2025-07-01","2026-02-01","18","0","0.0"
"2025-07-01","2026-03-01","18","0","0.0"
"2025-07-01","2026-04-01","18","0","0.0"
"2025-07-01","2026-05-01","18","17","94.4"
"2025-07-01","2026-06-01","18","18","100.0"
"2025-07-01","2026-07-01","18","16","88.9"
"2025-07-01","2026-08-01","18","17","94.4"
"2025-08-01","2025-08-01","11","0","0.0"
"2025-08-01","2025-09-01","11","0","0.0"
"2025-08-01","2025-10-01","11","0","0.0"
"2025-08-01","2025-11-01","11","0","0.0"
"2025-08-01","2025-12-01","11","0","0.0"
"2025-08-01","2026-01-01","11","0","0.0"
"2025-08-01","2026-02-01","11","0","0.0"
"2025-08-01","2026-03-01","11","0","0.0"
"2025-08-01","2026-04-01","11","0","0.0"
"2025-08-01","2026-05-01","11","11","100.0"
"2025-08-01","2026-06-01","11","11","100.0"
"2025-08-01","2026-07-01","11","11","100.0"
"2025-08-01","2026-08-01","11","11","100.0"
"2025-09-01","2025-09-01","11","0","0.0"
"2025-09-01","2025-10-01","11","0","0.0"
"2025-09-01","2025-11-01","11","0","0.0"
"2025-09-01","2025-12-01","11","0","0.0"
"2025-09-01","2026-01-01","11","0","0.0"
"2025-09-01","2026-02-01","11","0","0.0"
"2025-09-01","2026-03-01","11","0","0.0"
"2025-09-01","2026-04-01","11","0","0.0"
"2025-09-01","2026-05-01","11","11","100.0"
"2025-09-01","2026-06-01","11","11","100.0"
"2025-09-01","2026-07-01","11","11","100.0"
"2025-09-01","2026-08-01","11","11","100.0"
"2025-10-01","2025-10-01","10","0","0.0"
"2025-10-01","2025-11-01","10","0","0.0"
"2025-10-01","2025-12-01","10","0","0.0"
"2025-10-01","2026-01-01","10","0","0.0"
"2025-10-01","2026-02-01","10","0","0.0"
"2025-10-01","2026-03-01","10","0","0.0"
"2025-10-01","2026-04-01","10","0","0.0"
"2025-10-01","2026-05-01","10","10","100.0"
"2025-10-01","2026-06-01","10","10","100.0"
"2025-10-01","2026-07-01","10","10","100.0"
"2025-10-01","2026-08-01","10","9","90.0"
"2025-11-01","2025-11-01","12","0","0.0"
"2025-11-01","2025-12-01","12","0","0.0"
"2025-11-01","2026-01-01","12","0","0.0"
"2025-11-01","2026-02-01","12","0","0.0"
"2025-11-01","2026-03-01","12","0","0.0"
"2025-11-01","2026-04-01","12","0","0.0"
"2025-11-01","2026-05-01","12","12","100.0"
"2025-11-01","2026-06-01","12","12","100.0"
"2025-11-01","2026-07-01","12","12","100.0"
"2025-11-01","2026-08-01","12","12","100.0"
"2025-12-01","2025-12-01","10","0","0.0"
"2025-12-01","2026-01-01","10","0","0.0"
"2025-12-01","2026-02-01","10","0","0.0"
"2025-12-01","2026-03-01","10","0","0.0"
"2025-12-01","2026-04-01","10","0","0.0"
"2025-12-01","2026-05-01","10","9","90.0"
"2025-12-01","2026-06-01","10","9","90.0"
"2025-12-01","2026-07-01","10","10","100.0"
"2025-12-01","2026-08-01","10","9","90.0"
"2026-01-01","2026-01-01","12","0","0.0"
"2026-01-01","2026-02-01","12","0","0.0"
"2026-01-01","2026-03-01","12","0","0.0"
"2026-01-01","2026-04-01","12","0","0.0"
"2026-01-01","2026-05-01","12","12","100.0"
"2026-01-01","2026-06-01","12","11","91.7"
"2026-01-01","2026-07-01","12","11","91.7"
"2026-01-01","2026-08-01","12","12","100.0"
"2026-02-01","2026-02-01","8","0","0.0"
"2026-02-01","2026-03-01","8","0","0.0"
"2026-02-01","2026-04-01","8","0","0.0"
"2026-02-01","2026-05-01","8","8","100.0"
"2026-02-01","2026-06-01","8","8","100.0"
"2026-02-01","2026-07-01","8","8","100.0"
"2026-02-01","2026-08-01","8","7","87.5"
"2026-03-01","2026-03-01","7","0","0.0"
"2026-03-01","2026-04-01","7","0","0.0"
"2026-03-01","2026-05-01","7","6","85.7"
"2026-03-01","2026-06-01","7","7","100.0"
"2026-03-01","2026-07-01","7","7","100.0"
"2026-03-01","2026-08-01","7","6","85.7"
"2026-04-01","2026-04-01","12","0","0.0"
"2026-04-01","2026-05-01","12","12","100.0"
"2026-04-01","2026-06-01","12","12","100.0"
"2026-04-01","2026-07-01","12","12","100.0"
"2026-04-01","2026-08-01","12","11","91.7"
"2026-05-01","2026-05-01","46","41","89.1"
"2026-05-01","2026-06-01","46","46","100.0"
"2026-05-01","2026-07-01","46","45","97.8"
"2026-05-01","2026-08-01","46","45","97.8"
"2026-06-01","2026-06-01","49","43","87.8"
"2026-06-01","2026-07-01","49","49","100.0"
"2026-06-01","2026-08-01","49","49","100.0"
"2026-07-01","2026-07-01","52","48","92.3"
"2026-07-01","2026-08-01","52","52","100.0"
"2026-08-01","2026-08-01","58","45","77.6"
